Date,Site ID,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Daily Obs Count,AQS Parameter Description,County FIPS Code,County,Site Latitude,Site Longitude
04/18/2023,490352005,0.0,ppm,0,17,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/20/2023,490352005,0.2,ppm,2,6,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/21/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/22/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/23/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/24/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/25/2023,490352005,0.4,ppm,5,20,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/26/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/27/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/28/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/29/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/30/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/01/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/02/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/03/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/04/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/05/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/06/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/07/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/08/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/09/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/10/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/11/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/12/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/13/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/14/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/15/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/16/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/17/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/18/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/19/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/20/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/21/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/22/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/23/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/24/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/25/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/26/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/27/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/28/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/29/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/30/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
05/31/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/01/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/02/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/03/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/04/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/05/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/06/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/07/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/08/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/09/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/10/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
06/11/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
